2-Aminoadipicacid	C(C[C@@H](C(=O)O)N)CC(=O)O
2-Aminobutyricacid	CC[C@@H](C(=O)O)N
Anticapsin	C1CC(=O)[C@H]2[C@@H]([C@H]1C[C@@H](C(=O)O)N)O2
2-Aminoisobutyricacid	CC(C)(C(=O)O)N
allo-Isoleucine	CC[C@@H](C)[C@@H](C(=O)O)N
Alanine	C[C@@H](C(=O)O)N
alpha-methylcysteine	C[C@](CS)(C(=O)O)N
alpha-amino-phenyl-valericacid	N[C@@H](CCCc1ccccc1)C(=O)O
Arginine	C(C[C@@H](C(=O)O)N)CN=C(N)N
Asparagine	C([C@@H](C(=O)O)N)C(=O)N
AsparticAcid	C([C@@H](C(=O)O)N)C(=O)O
allo-Threonine	C[C@@H]([C@@H](C(=O)O)N)O
capreomycidine	C1CN=C(N[C@H]1[C@@H](C(=O)O)N)N
Citrulline	C(C[C@@H](C(=O)O)N)CNC(=O)N
coronamicacid	CC[C@H]1C[C@]1(C(=O)O)N
2-carboxyquinoxaline	O=C(O)c1cnc2ccccc2(n1)
cycloOrnithine	C1C[C@@H](C(=O)NC1)N
Cysteine	C([C@@H](C(=O)O)N)S
cysteicacid	C([C@@H](C(=O)O)N)S(=O)(=O)O
D-2-Aminoadipicacid	C(C[C@H](C(=O)O)N)CC(=O)O
D-2-Aminobutyricacid	CC[C@H](C(=O)O)N
D-allo-Isoleucine	CC[C@H](C)[C@H](C(=O)O)N
D-Alanine	C[C@H](C(=O)O)N
D-alpha-methylcysteine	C[C@@](CS)(C(=O)O)N
D-alpha-amino-phenyl-valericacid	N[C@H](CCCc1ccccc1)C(=O)O
D-Arginine	C(C[C@H](C(=O)O)N)CN=C(N)N
D-Asparagine	C([C@H](C(=O)O)N)C(=O)N
D-AsparticAcid	C([C@H](C(=O)O)N)C(=O)O
D-allo-Threonine	C[C@H]([C@H](C(=O)O)N)O
D-Citrulline	C(C[C@H](C(=O)O)N)CNC(=O)N
D-cycloOrnithine	C1C[C@H](C(=O)NC1)N
D-Cysteine	C([C@H](C(=O)O)N)S
D-cysteicacid	C([C@H](C(=O)O)N)S(=O)(=O)O
D-2,4-diaminobutyricacid	C(CN)[C@H](C(=O)O)N
(2R,3R)-2,3-diaminobutyricacid	C[C@H]([C@H](C(=O)O)N)N
D-3,5-dihydroxyphenylglycine	N[C@@H](C(=O)O)c1cc(O)cc(O)c1
D-2,3-Diaminopropionicacid	NC[C@@H](N)C(=O)O
D-enduracididine	C1[C@H](NC(=N1)N)C[C@H](C(=O)O)N
D-alpha-ethylnorvaline	CCC(CC)[C@@H](N)C(=O)O
D-Glutamine	C(CC(=O)N)[C@H](C(=O)O)N
D-GlutamicAcid	C(CC(=O)O)[C@H](C(=O)O)N
D-HydroxyPhenylGlycine	C1=CC(=CC=C1[C@H](C(=O)O)N)O
D-homoproline	C1CCN[C@H](C1)C(=O)O
D-Homoserine	C(CO)[C@H](C(=O)O)N
D-homoserinelactone	C1COC(=O)[C@@H]1N
D-Homotyrosine	C1=CC(=CC=C1CC[C@H](C(=O)O)N)O
D-Isoleucine	CCC(C)[C@H](C(=O)O)N
D-isovaline	CC[C@](C)(C(=O)O)N
D-kynurenine	C1=CC=C(C(=C1)C(=O)C[C@H](C(=O)O)N)N
D-Leucine	CC(C)C[C@H](C(=O)O)N
D-Lysine	C(CCN)C[C@H](C(=O)O)N
D-methyl-2-aminooctanoicacid	CCCCCCC[C@@H](N)C(=O)O
D-ornithine	C(C[C@H](C(=O)O)N)CN
D-PhenylGlycine	C1=CC=C(C=C1)[C@H](C(=O)O)N
D-Phenylalanine	C1=CC=C(C=C1)C[C@H](C(=O)O)N
D-Proline	C1C[C@@H](NC1)C(=O)O
D-phosphinothricin	CP(=O)(O)CC[C@@H](N)C(=O)O
D-Serine	C([C@H](C(=O)O)N)O
D-tert-Leu	CC(C)(C)[C@H](C(=O)O)N
D-Threonine	C[C@@H]([C@H](C(=O)O)N)O
D-Tryptophan	C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N
D-Tyrosine	C1=CC(=CC=C1C[C@H](C(=O)O)N)O
D-Valine	CC(C)[C@H](C(=O)O)N
2,4-diaminobutyricacid	C(CN)[C@@H](C(=O)O)N
(2S)-2,3-diaminobutyricacid	C[C@H]([C@@H](C(=O)O)N)N
dehydroalanine	C=C(N)C(=O)O
2,3-Dehydro-Tryptophan	NC(=Cc1c[nH]c2ccccc12)C(=O)O
dehydro-cysteine	NC(=CS)C(=O)O
3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1
