Alanine	O=C(S)C(C)N
Arginine	O=C(S)C(CCCN=C(N)N)N
Asparagine	O=C(C[C@@H](C(S)=O)N)N
Asparticacid	O=C(CC(C(S)=O)N)O
Cysteine	O=C(S)[C@@H](N)CS
Glutamicacid	O=C(O)CCC(N)C(S)=O
Glutamine	O=C(CCC(C(S)=O)N)N
Glycine	O=C(S)CN
Histidine	O=C(S)[C@@H](N)Cc1cnc[nH]1
Isoleucine	CC[C@@H]([C@H](N)C(S)=O)C
Leucine	CC(C[C@H](N)C(S)=O)C
Lysine	SC(=O)C(N)CCCCN
Methionine	CSCCC(N)C(S)=O
Phenylalanine	O=C(S)[C@@H](N)Cc1ccccc1
Proline	O=C(S)C1CCCN1
Serine	O=C(S)[C@@H](N)CO
Threonine	C[C@@H](O)[C@H](N)C(S)=O
Tryptophan	N[C@H](C(S)=O)Cc2c1c([nH]c2)cccc1
Tyrosine	N[C@H](C(S)=O)Cc(cc1)ccc1O
Valine	CC([C@H](N)C(S)=O)C
