bgc_type	gene_name	module_id	module_type	specificity	tailoring_domains
PKS type I	scaP1	0	starter_module_pks	CCC(=O)S
PKS type I	scaP1	1	elongation_module_pks	methylmalonylcoa	KR_A2
PKS type I	scaP1	2	elongation_module_pks	methylmalonylcoa	KR_A1
PKS type I	scaP2	3	elongation_module_pks	methylmalonylcoa	KR_A2
PKS type I	scaP2	4	elongation_module_pks	methylmalonylcoa	KR_B1
PKS type I	scaP2	5	elongation_module_pks	malonylcoa	KR_B1
PKS type I	scaP3	6	elongation_module_pks	malonylcoa	KR_B1
PKS type I	scaP3	7	elongation_module_pks	malonylcoa	KR_B1|DH|ER
PKS type I	scaP4	8	elongation_module_pks	malonylcoa	KR_B1
PKS type I	scaP4	9	elongation_module_pks	malonylcoa	KR_B1|DH|ER
PKS type I	scaP4	10	elongation_module_pks	malonylcoa	KR_A1
PKS type I	scaP5	11	elongation_module_pks	malonylcoa	KR_B1
PKS type I	scaP5	12	elongation_module_pks	malonylcoa	KR_A1
PKS type I	scaP5	13	elongation_module_pks	malonylcoa	
PKS type I	scaP5	14	elongation_module_pks	methylmalonylcoa	KR_B2
PKS type I	scaP5	15	elongation_module_pks	malonylcoa	KR_B1|DH|ER
PKS type I	scaP6	16	elongation_module_pks	malonylcoa	KR_A1
PKS type I	scaP6	17	elongation_module_pks	malonylcoa	KR_B1|DH|ER
PKS type I	scaP6	18	elongation_module_pks	malonylcoa	KR_B1
PKS type I	scaP7	19	elongation_module_pks	methylmalonylcoa	KR_B2
PKS type I	scaP7	20	terminator_module_pks	malonylcoa	KR|DH
