gene_name	module_nr	module_type	module_subtype	module_substrate	nr_iterations	domain_type	domain_subtype	domain_name	domain_used	domain_active
eryAI	0	PKS	PKS_CIS	PROPIONYL_COA	1	AT	None	AT	True	True
eryAI	0	PKS	PKS_CIS	PROPIONYL_COA	1	ACP	None	ACP	True	True
eryAI	1	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAI	1	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAI	1	PKS	PKS_CIS	METHYLMALONYL_COA	1	DH	None	DH	False	False
eryAI	1	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	B2	KR	True	True
eryAI	1	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAI	2	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAI	2	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAI	2	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	A1	KR	True	True
eryAI	2	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAII	3	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAII	3	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAII	3	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	C2	KR	True	True
eryAII	3	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	DH	None	DH	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	ER	None	ER	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	None	KR	True	True
eryAII	4	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAIII	5	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAIII	5	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAIII	5	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	A1	KR	True	True
eryAIII	5	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAIII	6	PKS	PKS_CIS	METHYLMALONYL_COA	1	KS	None	KS	True	True
eryAIII	6	PKS	PKS_CIS	METHYLMALONYL_COA	1	AT	None	AT	True	True
eryAIII	6	PKS	PKS_CIS	METHYLMALONYL_COA	1	KR	A1	KR	True	True
eryAIII	6	PKS	PKS_CIS	METHYLMALONYL_COA	1	ACP	None	ACP	True	True
eryAIII	6	PKS	PKS_CIS	METHYLMALONYL_COA	1	TE	None	TE	True	True
